ObjID,raMean,decMean,zMeanPSFMag,zMeanKronMag,nDetections,zQfPerfect
107983338541268438,333.85413271,-0.0101291,20.8166999816895,20.2735004425049,25,0.998875975608826
107973338648878875,333.86482732,-0.01798462,20.3964004516602,20.0583992004395,44,0.999404013156891
107973338575006628,333.85750513,-0.01983024,19.3495998382568,19.3763008117676,63,0.998847007751465
108123341156873656,334.11566475,0.10269846,19.777099609375,19.8423004150391,58,0.999255001544952
108133341209412570,334.1209657,0.11009837,20.6837997436523,-999,7,0.997592985630035
108123341217582842,334.12177085,0.10195704,20.7350006103516,20.915599822998,66,0.999006986618042
108143341374590710,334.13745927,0.11689003,20.4022998809814,19.8957004547119,58,0.998851001262665
108143341349711356,334.13502937,0.11742037,20.7033004760742,20.3782997131348,32,0.999143004417419
108133341342342105,334.13424528,0.10972754,20.6100997924805,-999,19,0.998086988925934
108133341345468100,334.13456386,0.11463229,20.6912002563477,20.5361995697021,29,0.99864399433136
108133341304579169,334.13048653,0.11561828,21.0370006561279,20.4188003540039,8,0.998134970664978
108133341271654262,334.12718104,0.11154956,21.0055999755859,21.0289993286133,21,0.998844981193542
108123341050595128,334.10511536,0.10386737,19.862699508667,20.0032997131348,79,0.999288022518158
108123341007321158,334.10075206,0.10056652,15.7216997146606,15.7714996337891,78,0.998863995075226
108123341033891745,334.10343721,0.1010384,19.7262001037598,19.7236003875732,55,0.99931800365448
108133341002062322,334.1003272,0.10993655,20.8313999176025,20.2985992431641,18,0.999481022357941
108143341038881566,334.10389279,0.11756509,19.8987998962402,19.9382991790771,61,0.999017000198364
108133341083579912,334.10841665,0.11620833,20.7360000610352,20.8833999633789,55,0.998672008514404
108133341081634107,334.10818466,0.11134182,20.138500213623,20.1884002685547,54,0.999038994312286
108153341174926422,334.11753735,0.12996132,21.1688003540039,21.3579006195068,16,0.998760998249054
108163341246099673,334.12456059,0.14103047,20.153299331665,19.955099105835,40,0.999415993690491
108163341218149536,334.12173412,0.14095722,20.6875,19.5284004211426,25,0.998812019824982
108163341226024433,334.12260886,0.13663148,15.4607000350952,15.5115995407104,85,0.998449981212616
108163341198787915,334.11989482,0.13956824,19.4305992126465,19.4050006866455,79,0.998463988304138
108153341214662946,334.12147326,0.12702321,19.4095001220703,19.4634990692139,81,0.998935997486115
108163341251677871,334.12516068,0.13944174,20.8052997589111,20.5533008575439,37,0.998005986213684
108163340962857702,334.09630989,0.13936799,20.6972007751465,20.8966999053955,27,0.998700022697449
108163340976952368,334.09772038,0.13490445,17.4430999755859,17.4521999359131,83,0.998723983764648
108163340971001559,334.09710757,0.13425116,19.4897003173828,18.9417991638184,26,0.999114990234375
108153340961554773,334.09620074,0.12864974,19.5762996673584,19.7019996643066,59,0.998825013637543
108163340997070984,334.09975095,0.13376186,18.7434005737305,18.8652992248535,81,0.99965900182724
108153341097934150,334.10981113,0.12807314,14.9394998550415,15.0073003768921,74,0.999664008617401
108103341400369295,334.14005721,0.09064769,19.0582008361816,19.0879001617432,64,0.999199986457825
108103341261479987,334.12615863,0.09124715,20.6466999053955,20.843599319458,63,0.998615980148315
108113341321151957,334.13218464,0.09297656,21.3603000640869,-999,6,0.999341011047363
108113341287940931,334.12880176,0.09209231,20.8351001739502,20.6487998962402,31,0.998754978179932
108093341314883471,334.13149679,0.07750477,17.9874992370605,18.1025009155273,75,0.998701989650726
108093341325699572,334.13258387,0.08261113,19.1376991271973,17.9022998809814,82,0.998718023300171
108093341075987849,334.1076865,0.08118898,20.1355991363525,20.3181991577148,58,0.999190986156464
108073341157870451,334.11581728,0.0583389,20.510799407959,20.011999130249,55,0.998722970485687
108063341133089508,334.11336068,0.05762438,20.2945003509521,20.2388000488281,38,0.998453974723816
108083341112862600,334.11127288,0.06845457,20.7803993225098,20.9666996002197,43,0.998849987983704
108073341145607333,334.11449177,0.0639541,20.3034992218018,19.9351997375488,76,0.998655021190643
107953340965862375,334.096623,-0.04009402,21.1571998596191,20.6650009155273,13,0.997768998146057
107973340859320405,334.08595056,-0.02506965,15.807900428772,15.8641004562378,104,0.999222993850708
107973340741441616,334.07415316,-0.02407161,19.3309001922607,19.3931007385254,80,0.999123990535736
107963340808077295,334.08096442,-0.0276298,20.4902992248535,20.4929008483887,42,0.999024987220764
