Slice center (h^-1 Mpc), Completeness
5.031106626220354883e+03,9.748036442788889921e-01
5.031206627368845147e+03,9.745907313677222295e-01
5.031306628517335412e+03,9.743778290047935275e-01
5.031406629665824767e+03,9.741649371951898173e-01
5.031506630814314121e+03,9.739520559439913683e-01
5.031606631962804386e+03,9.737391852562811145e-01
5.031706633111294650e+03,9.735263251371444326e-01
5.031806634259784914e+03,9.733134755916655889e-01
5.031906635408274269e+03,9.731006366249309592e-01
5.032006636556763624e+03,9.728878082420224782e-01
5.032106637705253888e+03,9.726749904480220810e-01
5.032206638853744153e+03,9.724621832480169203e-01
5.032306640002234417e+03,9.722493866470908186e-01
5.032406641150723772e+03,9.720366006503301515e-01
5.032506642299213127e+03,9.718238252628179641e-01
5.032606643447703391e+03,9.716110604896368574e-01
5.032706644596193655e+03,9.713983063358733183e-01
5.032806645744683010e+03,9.711855628066142776e-01
5.032906646893173274e+03,9.709728299069413371e-01
5.033006648041662629e+03,9.707601076419418717e-01
5.033106649190152893e+03,9.705473960166987046e-01
5.033206650338643158e+03,9.703346950362981005e-01
5.033306651487132513e+03,9.701220047058268792e-01
5.033406652635622777e+03,9.699093250303670866e-01
5.033506653784112132e+03,9.696966560150080960e-01
5.033606654932602396e+03,9.694839976648307323e-01
5.033706656081092660e+03,9.692713499849229253e-01
5.033806657229582015e+03,9.690587129803726052e-01
5.033906658378072279e+03,9.688460866562607077e-01
5.034006659526561634e+03,9.686334710176773832e-01
5.034106660675051899e+03,9.684208660697047888e-01
5.034206661823542163e+03,9.682082718174301883e-01
5.034306662972031518e+03,9.679956882659417339e-01
5.034406664120520873e+03,9.677831154203240249e-01
5.034506665269011137e+03,9.675705532856606617e-01
5.034606666417501401e+03,9.673580018670397962e-01
5.034706667565991665e+03,9.671454611695480263e-01
5.034806668714481020e+03,9.669329311982735042e-01
5.034906669862970375e+03,9.667204119583007182e-01
5.035006671011460639e+03,9.665079034547144898e-01
5.035106672159950904e+03,9.662954056926027491e-01
5.035206673308441168e+03,9.660829186770524268e-01
5.035306674456930523e+03,9.658704424131527855e-01
5.035406675605419878e+03,9.656579769059876472e-01
